"estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno"
"São Paulo","Leonel Brizola ","PDT","PDT",252651,0.373670360331424,"Presidente",1989,"Turno 1"
"Paraná","Leonel Brizola ","PDT","PDT",616170,0.911314287002282,"Presidente",1989,"Turno 1"
"Santa Catarina","Leonel Brizola ","PDT","PDT",632170,0.93497825732222,"Presidente",1989,"Turno 1"
"R. G. do Sul","Leonel Brizola ","PDT","PDT",3262925,4.82586002226158,"Presidente",1989,"Turno 1"
"M. G. do Sul","Leonel Brizola ","PDT","PDT",63721,0.0942432407973001,"Presidente",1989,"Turno 1"
"Mato Grosso","Leonel Brizola ","PDT","PDT",75194,0.111211786514841,"Presidente",1989,"Turno 1"
"Goiás","Leonel Brizola ","PDT","PDT",70146,0.1037458038789,"Presidente",1989,"Turno 1"
"Distrito Federal","Leonel Brizola ","PDT","PDT",71719,0.106072267960979,"Presidente",1989,"Turno 1"
"Rondônia","Mário Covas ","PSDB","PSDB",13718,0.0202888965530573,"Presidente",1989,"Turno 1"
"Acre","Mário Covas ","PSDB","PSDB",3716,0.00549595710680572,"Presidente",1989,"Turno 1"
"Amazonas","Mário Covas ","PSDB","PSDB",36380,0.0538059525149602,"Presidente",1989,"Turno 1"
"Roraima","Mário Covas ","PSDB","PSDB",2944,0.00435417053886869,"Presidente",1989,"Turno 1"
"Pará","Mário Covas ","PSDB","PSDB",101282,0.149795890121501,"Presidente",1989,"Turno 1"
"Amapá","Mário Covas ","PSDB","PSDB",3695,0.0054648981457608,"Presidente",1989,"Turno 1"
"Tocantins","Mário Covas ","PSDB","PSDB",9739,0.0144039629341176,"Presidente",1989,"Turno 1"
"Maranhão","Mário Covas ","PSDB","PSDB",44154,0.0653036840941603,"Presidente",1989,"Turno 1"
"Piauí","Mário Covas ","PSDB","PSDB",48763,0.0721203865444476,"Presidente",1989,"Turno 1"
"Ceará","Mário Covas ","PSDB","PSDB",477286,0.705905108632636,"Presidente",1989,"Turno 1"
"R. G. do Norte","Mário Covas ","PSDB","PSDB",56768,0.0839597666951418,"Presidente",1989,"Turno 1"
"Paraíba","Mário Covas ","PSDB","PSDB",94774,0.140170570193866,"Presidente",1989,"Turno 1"
"Pernambuco","Mário Covas ","PSDB","PSDB",101093,0.149516359472096,"Presidente",1989,"Turno 1"
"Alagoas","Mário Covas ","PSDB","PSDB",67240,0.0994478352695416,"Presidente",1989,"Turno 1"
"Sergipe","Mário Covas ","PSDB","PSDB",39499,0.0584189477292032,"Presidente",1989,"Turno 1"
"Bahia","Mário Covas ","PSDB","PSDB",248803,0.367979175469479,"Presidente",1989,"Turno 1"
"Minas Gerais","Mário Covas ","PSDB","PSDB",799227,1.18205525043084,"Presidente",1989,"Turno 1"
"Espírito Santo","Mário Covas ","PSDB","PSDB",118048,0.174592773020506,"Presidente",1989,"Turno 1"
"Rio de Janeiro","Mário Covas ","PSDB","PSDB",643786,0.952158299774496,"Presidente",1989,"Turno 1"
"São Paulo","Mário Covas ","PSDB","PSDB",3802330,5.62363901666324,"Presidente",1989,"Turno 1"
"Paraná","Mário Covas ","PSDB","PSDB",325652,0.481638703914288,"Presidente",1989,"Turno 1"
"Santa Catarina","Mário Covas ","PSDB","PSDB",177980,0.263232089846416,"Presidente",1989,"Turno 1"
"R. G. do Sul","Mário Covas ","PSDB","PSDB",249384,0.368838473391721,"Presidente",1989,"Turno 1"
"M. G. do Sul","Mário Covas ","PSDB","PSDB",50465,0.074637641387231,"Presidente",1989,"Turno 1"
"Mato Grosso","Mário Covas ","PSDB","PSDB",33472,0.0495050259093113,"Presidente",1989,"Turno 1"
"Goiás","Mário Covas ","PSDB","PSDB",101514,0.15013901769114,"Presidente",1989,"Turno 1"
"Distrito Federal","Mário Covas ","PSDB","PSDB",135227,0.200000482153395,"Presidente",1989,"Turno 1"
