estado,candidato,votos,cargo,ano,turno
Piauí,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),219406,Presidente,1989,Turno 1
Ceará,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),321526,Presidente,1989,Turno 1
R. G. do Norte,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),239010,Presidente,1989,Turno 1
Paraíba,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),313895,Presidente,1989,Turno 1
Pernambuco,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),950189,Presidente,1989,Turno 1
Alagoas,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),76227,Presidente,1989,Turno 1
Sergipe,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),108002,Presidente,1989,Turno 1
Bahia,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),1050444,Presidente,1989,Turno 1
Minas Gerais,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),1792789,Presidente,1989,Turno 1
Espírito Santo,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),264983,Presidente,1989,Turno 1
Rio de Janeiro,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),904223,Presidente,1989,Turno 1
São Paulo,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),2921970,Presidente,1989,Turno 1
Paraná,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),353907,Presidente,1989,Turno 1
Santa Catarina,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),255015,Presidente,1989,Turno 1
R. G. do Sul,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),350062,Presidente,1989,Turno 1
M. G. do Sul,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),73697,Presidente,1989,Turno 1
Mato Grosso,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),76700,Presidente,1989,Turno 1
Goiás,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),298261,Presidente,1989,Turno 1
Distrito Federal,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),220720,Presidente,1989,Turno 1
Rondônia,Leonel Brizola PDT,39650,Presidente,1989,Turno 1
Acre,Leonel Brizola PDT,8582,Presidente,1989,Turno 1
Amazonas,Leonel Brizola PDT,26129,Presidente,1989,Turno 1
Roraima,Leonel Brizola PDT,5092,Presidente,1989,Turno 1
Pará,Leonel Brizola PDT,52361,Presidente,1989,Turno 1
Amapá,Leonel Brizola PDT,4935,Presidente,1989,Turno 1
Tocantins,Leonel Brizola PDT,11605,Presidente,1989,Turno 1
Maranhão,Leonel Brizola PDT,116539,Presidente,1989,Turno 1
Piauí,Leonel Brizola PDT,93507,Presidente,1989,Turno 1
Ceará,Leonel Brizola PDT,505440,Presidente,1989,Turno 1
R. G. do Norte,Leonel Brizola PDT,78259,Presidente,1989,Turno 1
Paraíba,Leonel Brizola PDT,186076,Presidente,1989,Turno 1
Pernambuco,Leonel Brizola PDT,265548,Presidente,1989,Turno 1
Alagoas,Leonel Brizola PDT,63071,Presidente,1989,Turno 1
Sergipe,Leonel Brizola PDT,55751,Presidente,1989,Turno 1
Bahia,Leonel Brizola PDT,229186,Presidente,1989,Turno 1
Minas Gerais,Leonel Brizola PDT,418935,Presidente,1989,Turno 1
Espírito Santo,Leonel Brizola PDT,105093,Presidente,1989,Turno 1
Rio de Janeiro,Leonel Brizola PDT,3855561,Presidente,1989,Turno 1
São Paulo,Leonel Brizola PDT,252651,Presidente,1989,Turno 1
Paraná,Leonel Brizola PDT,616170,Presidente,1989,Turno 1
Santa Catarina,Leonel Brizola PDT,632170,Presidente,1989,Turno 1
R. G. do Sul,Leonel Brizola PDT,3262925,Presidente,1989,Turno 1
M. G. do Sul,Leonel Brizola PDT,63721,Presidente,1989,Turno 1
Mato Grosso,Leonel Brizola PDT,75194,Presidente,1989,Turno 1
Goiás,Leonel Brizola PDT,70146,Presidente,1989,Turno 1
Distrito Federal,Leonel Brizola PDT,71719,Presidente,1989,Turno 1
Rondônia,Mário Covas PSDB,13718,Presidente,1989,Turno 1
Acre,Mário Covas PSDB,3716,Presidente,1989,Turno 1
Amazonas,Mário Covas PSDB,36380,Presidente,1989,Turno 1
Roraima,Mário Covas PSDB,2944,Presidente,1989,Turno 1
Pará,Mário Covas PSDB,101282,Presidente,1989,Turno 1
Amapá,Mário Covas PSDB,3695,Presidente,1989,Turno 1
Tocantins,Mário Covas PSDB,9739,Presidente,1989,Turno 1
Maranhão,Mário Covas PSDB,44154,Presidente,1989,Turno 1
Piauí,Mário Covas PSDB,48763,Presidente,1989,Turno 1
Ceará,Mário Covas PSDB,477286,Presidente,1989,Turno 1
R. G. do Norte,Mário Covas PSDB,56768,Presidente,1989,Turno 1
Paraíba,Mário Covas PSDB,94774,Presidente,1989,Turno 1
Pernambuco,Mário Covas PSDB,101093,Presidente,1989,Turno 1
Alagoas,Mário Covas PSDB,67240,Presidente,1989,Turno 1
Sergipe,Mário Covas PSDB,39499,Presidente,1989,Turno 1
Bahia,Mário Covas PSDB,248803,Presidente,1989,Turno 1
Minas Gerais,Mário Covas PSDB,799227,Presidente,1989,Turno 1
Espírito Santo,Mário Covas PSDB,118048,Presidente,1989,Turno 1
Rio de Janeiro,Mário Covas PSDB,643786,Presidente,1989,Turno 1
São Paulo,Mário Covas PSDB,3802330,Presidente,1989,Turno 1
Paraná,Mário Covas PSDB,325652,Presidente,1989,Turno 1
Santa Catarina,Mário Covas PSDB,177980,Presidente,1989,Turno 1
R. G. do Sul,Mário Covas PSDB,249384,Presidente,1989,Turno 1
M. G. do Sul,Mário Covas PSDB,50465,Presidente,1989,Turno 1
Mato Grosso,Mário Covas PSDB,33472,Presidente,1989,Turno 1
Goiás,Mário Covas PSDB,101514,Presidente,1989,Turno 1
Distrito Federal,Mário Covas PSDB,135227,Presidente,1989,Turno 1
Rondônia,Paulo Maluf PDS,24934,Presidente,1989,Turno 1
Acre,Paulo Maluf PDS,12882,Presidente,1989,Turno 1
Amazonas,Paulo Maluf PDS,24832,Presidente,1989,Turno 1
Roraima,Paulo Maluf PDS,1377,Presidente,1989,Turno 1
Pará,Paulo Maluf PDS,62848,Presidente,1989,Turno 1
Amapá,Paulo Maluf PDS,1960,Presidente,1989,Turno 1
Tocantins,Paulo Maluf PDS,13258,Presidente,1989,Turno 1
Maranhão,Paulo Maluf PDS,35939,Presidente,1989,Turno 1
Piauí,Paulo Maluf PDS,38236,Presidente,1989,Turno 1
Ceará,Paulo Maluf PDS,108877,Presidente,1989,Turno 1
R. G. do Norte,Paulo Maluf PDS,52546,Presidente,1989,Turno 1
Paraíba,Paulo Maluf PDS,33777,Presidente,1989,Turno 1
Pernambuco,Paulo Maluf PDS,43518,Presidente,1989,Turno 1
Alagoas,Paulo Maluf PDS,9253,Presidente,1989,Turno 1
Sergipe,Paulo Maluf PDS,23550,Presidente,1989,Turno 1
Bahia,Paulo Maluf PDS,72200,Presidente,1989,Turno 1
Minas Gerais,Paulo Maluf PDS,275669,Presidente,1989,Turno 1
Espírito Santo,Paulo Maluf PDS,32221,Presidente,1989,Turno 1
Rio de Janeiro,Paulo Maluf PDS,115656,Presidente,1989,Turno 1
São Paulo,Paulo Maluf PDS,3934334,Presidente,1989,Turno 1
Paraná,Paulo Maluf PDS,319932,Presidente,1989,Turno 1
Santa Catarina,Paulo Maluf PDS,236151,Presidente,1989,Turno 1
R. G. do Sul,Paulo Maluf PDS,309406,Presidente,1989,Turno 1
M. G. do Sul,Paulo Maluf PDS,47237,Presidente,1989,Turno 1
Mato Grosso,Paulo Maluf PDS,43679,Presidente,1989,Turno 1
Goiás,Paulo Maluf PDS,80376,Presidente,1989,Turno 1
Distrito Federal,Paulo Maluf PDS,31364,Presidente,1989,Turno 1
Rondônia,Guilherme Afif PL (PDC),26123,Presidente,1989,Turno 1
Acre,Guilherme Afif PL (PDC),7149,Presidente,1989,Turno 1
Amazonas,Guilherme Afif PL (PDC),36544,Presidente,1989,Turno 1
Roraima,Guilherme Afif PL (PDC),2252,Presidente,1989,Turno 1
Pará,Guilherme Afif PL (PDC),65419,Presidente,1989,Turno 1
Amapá,Guilherme Afif PL (PDC),4323,Presidente,1989,Turno 1
Tocantins,Guilherme Afif PL (PDC),9822,Presidente,1989,Turno 1
Maranhão,Guilherme Afif PL (PDC),54021,Presidente,1989,Turno 1
Piauí,Guilherme Afif PL (PDC),36829,Presidente,1989,Turno 1
Ceará,Guilherme Afif PL (PDC),60228,Presidente,1989,Turno 1
R. G. do Norte,Guilherme Afif PL (PDC),20846,Presidente,1989,Turno 1
Paraíba,Guilherme Afif PL (PDC),25659,Presidente,1989,Turno 1
Pernambuco,Guilherme Afif PL (PDC),70093,Presidente,1989,Turno 1
Alagoas,Guilherme Afif PL (PDC),26869,Presidente,1989,Turno 1
Sergipe,Guilherme Afif PL (PDC),9744,Presidente,1989,Turno 1
Bahia,Guilherme Afif PL (PDC),100970,Presidente,1989,Turno 1
Minas Gerais,Guilherme Afif PL (PDC),503027,Presidente,1989,Turno 1
Espírito Santo,Guilherme Afif PL (PDC),45644,Presidente,1989,Turno 1
Rio de Janeiro,Guilherme Afif PL (PDC),191751,Presidente,1989,Turno 1
São Paulo,Guilherme Afif PL (PDC),807944,Presidente,1989,Turno 1
Paraná,Guilherme Afif PL (PDC),494608,Presidente,1989,Turno 1
Santa Catarina,Guilherme Afif PL (PDC),206957,Presidente,1989,Turno 1
R. G. do Sul,Guilherme Afif PL (PDC),178311,Presidente,1989,Turno 1
M. G. do Sul,Guilherme Afif PL (PDC),60061,Presidente,1989,Turno 1
Mato Grosso,Guilherme Afif PL (PDC),66916,Presidente,1989,Turno 1
Goiás,Guilherme Afif PL (PDC),111808,Presidente,1989,Turno 1
Distrito Federal,Guilherme Afif PL (PDC),48068,Presidente,1989,Turno 1
Rondônia,Ulysses Guimarães PMDB,19370,Presidente,1989,Turno 1
Acre,Ulysses Guimarães PMDB,14580,Presidente,1989,Turno 1
Amazonas,Ulysses Guimarães PMDB,17303,Presidente,1989,Turno 1
Roraima,Ulysses Guimarães PMDB,1589,Presidente,1989,Turno 1
Pará,Ulysses Guimarães PMDB,66384,Presidente,1989,Turno 1
Amapá,Ulysses Guimarães PMDB,3883,Presidente,1989,Turno 1
Tocantins,Ulysses Guimarães PMDB,32701,Presidente,1989,Turno 1
Maranhão,Ulysses Guimarães PMDB,72794,Presidente,1989,Turno 1
Piauí,Ulysses Guimarães PMDB,61037,Presidente,1989,Turno 1
Ceará,Ulysses Guimarães PMDB,85406,Presidente,1989,Turno 1
R. G. do Norte,Ulysses Guimarães PMDB,139093,Presidente,1989,Turno 1
Paraíba,Ulysses Guimarães PMDB,97634,Presidente,1989,Turno 1
Pernambuco,Ulysses Guimarães PMDB,89991,Presidente,1989,Turno 1
Alagoas,Ulysses Guimarães PMDB,9138,Presidente,1989,Turno 1
Sergipe,Ulysses Guimarães PMDB,12161,Presidente,1989,Turno 1
Bahia,Ulysses Guimarães PMDB,638007,Presidente,1989,Turno 1
Minas Gerais,Ulysses Guimarães PMDB,459308,Presidente,1989,Turno 1
Espírito Santo,Ulysses Guimarães PMDB,71408,Presidente,1989,Turno 1
Rio de Janeiro,Ulysses Guimarães PMDB,124752,Presidente,1989,Turno 1
São Paulo,Ulysses Guimarães PMDB,331576,Presidente,1989,Turno 1
Paraná,Ulysses Guimarães PMDB,144687,Presidente,1989,Turno 1
Santa Catarina,Ulysses Guimarães PMDB,242757,Presidente,1989,Turno 1
R. G. do Sul,Ulysses Guimarães PMDB,185433,Presidente,1989,Turno 1
M. G. do Sul,Ulysses Guimarães PMDB,44130,Presidente,1989,Turno 1
Mato Grosso,Ulysses Guimarães PMDB,56209,Presidente,1989,Turno 1
Goiás,Ulysses Guimarães PMDB,157355,Presidente,1989,Turno 1
Distrito Federal,Ulysses Guimarães PMDB,26167,Presidente,1989,Turno 1
Rondônia,Roberto Freire  PCB,2267,Presidente,1989,Turno 1
Acre,Roberto Freire  PCB,651,Presidente,1989,Turno 1
Amazonas,Roberto Freire  PCB,4744,Presidente,1989,Turno 1
Roraima,Roberto Freire  PCB,339,Presidente,1989,Turno 1
Pará,Roberto Freire  PCB,13645,Presidente,1989,Turno 1
Amapá,Roberto Freire  PCB,893,Presidente,1989,Turno 1
Tocantins,Roberto Freire  PCB,1096,Presidente,1989,Turno 1
Maranhão,Roberto Freire  PCB,12672,Presidente,1989,Turno 1
Piauí,Roberto Freire  PCB,7303,Presidente,1989,Turno 1
Ceará,Roberto Freire  PCB,23037,Presidente,1989,Turno 1
R. G. do Norte,Roberto Freire  PCB,10628,Presidente,1989,Turno 1
Paraíba,Roberto Freire  PCB,12173,Presidente,1989,Turno 1
Pernambuco,Roberto Freire  PCB,98651,Presidente,1989,Turno 1
Alagoas,Roberto Freire  PCB,5674,Presidente,1989,Turno 1
Sergipe,Roberto Freire  PCB,6122,Presidente,1989,Turno 1
Bahia,Roberto Freire  PCB,29803,Presidente,1989,Turno 1
Minas Gerais,Roberto Freire  PCB,99672,Presidente,1989,Turno 1
Espírito Santo,Roberto Freire  PCB,10476,Presidente,1989,Turno 1
Rio de Janeiro,Roberto Freire  PCB,154021,Presidente,1989,Turno 1
São Paulo,Roberto Freire  PCB,140539,Presidente,1989,Turno 1
Paraná,Roberto Freire  PCB,30021,Presidente,1989,Turno 1
Santa Catarina,Roberto Freire  PCB,13965,Presidente,1989,Turno 1
R. G. do Sul,Roberto Freire  PCB,45475,Presidente,1989,Turno 1
M. G. do Sul,Roberto Freire  PCB,6040,Presidente,1989,Turno 1
Mato Grosso,Roberto Freire  PCB,4375,Presidente,1989,Turno 1
Goiás,Roberto Freire  PCB,9656,Presidente,1989,Turno 1
Distrito Federal,Roberto Freire  PCB,24865,Presidente,1989,Turno 1
Rondônia,Aureliano Chaves PFL,2991,Presidente,1989,Turno 1
Acre,Aureliano Chaves PFL,797,Presidente,1989,Turno 1
Amazonas,Aureliano Chaves PFL,3471,Presidente,1989,Turno 1
Roraima,Aureliano Chaves PFL,459,Presidente,1989,Turno 1
Pará,Aureliano Chaves PFL,10919,Presidente,1989,Turno 1
Amapá,Aureliano Chaves PFL,695,Presidente,1989,Turno 1
Tocantins,Aureliano Chaves PFL,1563,Presidente,1989,Turno 1
Maranhão,Aureliano Chaves PFL,16189,Presidente,1989,Turno 1
Piauí,Aureliano Chaves PFL,18819,Presidente,1989,Turno 1
Ceará,Aureliano Chaves PFL,23518,Presidente,1989,Turno 1
R. G. do Norte,Aureliano Chaves PFL,5992,Presidente,1989,Turno 1
Paraíba,Aureliano Chaves PFL,9110,Presidente,1989,Turno 1
Pernambuco,Aureliano Chaves PFL,19590,Presidente,1989,Turno 1
Alagoas,Aureliano Chaves PFL,10677,Presidente,1989,Turno 1
Sergipe,Aureliano Chaves PFL,6371,Presidente,1989,Turno 1
Bahia,Aureliano Chaves PFL,34951,Presidente,1989,Turno 1
Minas Gerais,Aureliano Chaves PFL,227049,Presidente,1989,Turno 1
Espírito Santo,Aureliano Chaves PFL,10164,Presidente,1989,Turno 1
Rio de Janeiro,Aureliano Chaves PFL,48640,Presidente,1989,Turno 1
São Paulo,Aureliano Chaves PFL,69315,Presidente,1989,Turno 1
Paraná,Aureliano Chaves PFL,23686,Presidente,1989,Turno 1
Santa Catarina,Aureliano Chaves PFL,10101,Presidente,1989,Turno 1
R. G. do Sul,Aureliano Chaves PFL,19290,Presidente,1989,Turno 1
M. G. do Sul,Aureliano Chaves PFL,5286,Presidente,1989,Turno 1
Mato Grosso,Aureliano Chaves PFL,4928,Presidente,1989,Turno 1
Goiás,Aureliano Chaves PFL,8809,Presidente,1989,Turno 1
Distrito Federal,Aureliano Chaves PFL,7350,Presidente,1989,Turno 1
Rondônia,Ronaldo Caiado PSD (PDN),3222,Presidente,1989,Turno 1
Acre,Ronaldo Caiado PSD (PDN),763,Presidente,1989,Turno 1
Amazonas,Ronaldo Caiado PSD (PDN),1799,Presidente,1989,Turno 1
Roraima,Ronaldo Caiado PSD (PDN),359,Presidente,1989,Turno 1
Pará,Ronaldo Caiado PSD (PDN),6830,Presidente,1989,Turno 1
Amapá,Ronaldo Caiado PSD (PDN),321,Presidente,1989,Turno 1
Tocantins,Ronaldo Caiado PSD (PDN),4980,Presidente,1989,Turno 1
Maranhão,Ronaldo Caiado PSD (PDN),7599,Presidente,1989,Turno 1
Piauí,Ronaldo Caiado PSD (PDN),3770,Presidente,1989,Turno 1
Ceará,Ronaldo Caiado PSD (PDN),7714,Presidente,1989,Turno 1
R. G. do Norte,Ronaldo Caiado PSD (PDN),4868,Presidente,1989,Turno 1
Paraíba,Ronaldo Caiado PSD (PDN),5512,Presidente,1989,Turno 1
Pernambuco,Ronaldo Caiado PSD (PDN),8402,Presidente,1989,Turno 1
Alagoas,Ronaldo Caiado PSD (PDN),1838,Presidente,1989,Turno 1
Sergipe,Ronaldo Caiado PSD (PDN),2104,Presidente,1989,Turno 1
Bahia,Ronaldo Caiado PSD (PDN),30947,Presidente,1989,Turno 1
Minas Gerais,Ronaldo Caiado PSD (PDN),80601,Presidente,1989,Turno 1
Espírito Santo,Ronaldo Caiado PSD (PDN),18125,Presidente,1989,Turno 1
Rio de Janeiro,Ronaldo Caiado PSD (PDN),18269,Presidente,1989,Turno 1
São Paulo,Ronaldo Caiado PSD (PDN),78670,Presidente,1989,Turno 1
Paraná,Ronaldo Caiado PSD (PDN),53287,Presidente,1989,Turno 1
Santa Catarina,Ronaldo Caiado PSD (PDN),12735,Presidente,1989,Turno 1
R. G. do Sul,Ronaldo Caiado PSD (PDN),34317,Presidente,1989,Turno 1
M. G. do Sul,Ronaldo Caiado PSD (PDN),10850,Presidente,1989,Turno 1
Mato Grosso,Ronaldo Caiado PSD (PDN),9902,Presidente,1989,Turno 1
Goiás,Ronaldo Caiado PSD (PDN),78065,Presidente,1989,Turno 1
Distrito Federal,Ronaldo Caiado PSD (PDN),3023,Presidente,1989,Turno 1
Rondônia,Affonso Camargo PTB,2217,Presidente,1989,Turno 1
Acre,Affonso Camargo PTB,574,Presidente,1989,Turno 1
Amazonas,Affonso Camargo PTB,3587,Presidente,1989,Turno 1
Roraima,Affonso Camargo PTB,415,Presidente,1989,Turno 1
Pará,Affonso Camargo PTB,11230,Presidente,1989,Turno 1
Amapá,Affonso Camargo PTB,520,Presidente,1989,Turno 1
Tocantins,Affonso Camargo PTB,1472,Presidente,1989,Turno 1
Maranhão,Affonso Camargo PTB,8098,Presidente,1989,Turno 1
Piauí,Affonso Camargo PTB,5227,Presidente,1989,Turno 1
Ceará,Affonso Camargo PTB,13821,Presidente,1989,Turno 1
R. G. do Norte,Affonso Camargo PTB,4331,Presidente,1989,Turno 1
Paraíba,Affonso Camargo PTB,5341,Presidente,1989,Turno 1
Pernambuco,Affonso Camargo PTB,11292,Presidente,1989,Turno 1
Alagoas,Affonso Camargo PTB,4126,Presidente,1989,Turno 1
Sergipe,Affonso Camargo PTB,2880,Presidente,1989,Turno 1
Bahia,Affonso Camargo PTB,20733,Presidente,1989,Turno 1
Minas Gerais,Affonso Camargo PTB,40028,Presidente,1989,Turno 1
Espírito Santo,Affonso Camargo PTB,5823,Presidente,1989,Turno 1
Rio de Janeiro,Affonso Camargo PTB,42282,Presidente,1989,Turno 1
São Paulo,Affonso Camargo PTB,58096,Presidente,1989,Turno 1
Paraná,Affonso Camargo PTB,86065,Presidente,1989,Turno 1
Santa Catarina,Affonso Camargo PTB,12713,Presidente,1989,Turno 1
R. G. do Sul,Affonso Camargo PTB,15646,Presidente,1989,Turno 1
M. G. do Sul,Affonso Camargo PTB,4317,Presidente,1989,Turno 1
Mato Grosso,Affonso Camargo PTB,4073,Presidente,1989,Turno 1
Goiás,Affonso Camargo PTB,7623,Presidente,1989,Turno 1
Distrito Federal,Affonso Camargo PTB,6732,Presidente,1989,Turno 1
Rondônia,Enéas Carneiro PRONA,2029,Presidente,1989,Turno 1
Acre,Enéas Carneiro PRONA,1058,Presidente,1989,Turno 1
Amazonas,Enéas Carneiro PRONA,2837,Presidente,1989,Turno 1
Roraima,Enéas Carneiro PRONA,210,Presidente,1989,Turno 1
Pará,Enéas Carneiro PRONA,8135,Presidente,1989,Turno 1
Amapá,Enéas Carneiro PRONA,533,Presidente,1989,Turno 1
Tocantins,Enéas Carneiro PRONA,1421,Presidente,1989,Turno 1
Maranhão,Enéas Carneiro PRONA,8531,Presidente,1989,Turno 1
Piauí,Enéas Carneiro PRONA,5011,Presidente,1989,Turno 1
Ceará,Enéas Carneiro PRONA,11596,Presidente,1989,Turno 1
R. G. do Norte,Enéas Carneiro PRONA,6695,Presidente,1989,Turno 1
Paraíba,Enéas Carneiro PRONA,6997,Presidente,1989,Turno 1
Pernambuco,Enéas Carneiro PRONA,14359,Presidente,1989,Turno 1
Alagoas,Enéas Carneiro PRONA,3376,Presidente,1989,Turno 1
Sergipe,Enéas Carneiro PRONA,2919,Presidente,1989,Turno 1
Bahia,Enéas Carneiro PRONA,31655,Presidente,1989,Turno 1
Minas Gerais,Enéas Carneiro PRONA,65344,Presidente,1989,Turno 1
Espírito Santo,Enéas Carneiro PRONA,7495,Presidente,1989,Turno 1
Rio de Janeiro,Enéas Carneiro PRONA,40916,Presidente,1989,Turno 1
São Paulo,Enéas Carneiro PRONA,77823,Presidente,1989,Turno 1
Paraná,Enéas Carneiro PRONA,11267,Presidente,1989,Turno 1
Santa Catarina,Enéas Carneiro PRONA,10521,Presidente,1989,Turno 1
R. G. do Sul,Enéas Carneiro PRONA,22787,Presidente,1989,Turno 1
M. G. do Sul,Enéas Carneiro PRONA,2986,Presidente,1989,Turno 1
Mato Grosso,Enéas Carneiro PRONA,2747,Presidente,1989,Turno 1
Goiás,Enéas Carneiro PRONA,8257,Presidente,1989,Turno 1
Distrito Federal,Enéas Carneiro PRONA,3069,Presidente,1989,Turno 1
Rondônia,Marronzinho PSP,1609,Presidente,1989,Turno 1
Acre,Marronzinho PSP,468,Presidente,1989,Turno 1
Amazonas,Marronzinho PSP,1983,Presidente,1989,Turno 1
Roraima,Marronzinho PSP,184,Presidente,1989,Turno 1
Pará,Marronzinho PSP,6051,Presidente,1989,Turno 1
Amapá,Marronzinho PSP,436,Presidente,1989,Turno 1
Tocantins,Marronzinho PSP,855,Presidente,1989,Turno 1
Maranhão,Marronzinho PSP,8254,Presidente,1989,Turno 1
Piauí,Marronzinho PSP,4886,Presidente,1989,Turno 1
Ceará,Marronzinho PSP,13790,Presidente,1989,Turno 1
R. G. do Norte,Marronzinho PSP,4482,Presidente,1989,Turno 1
Paraíba,Marronzinho PSP,8124,Presidente,1989,Turno 1
Pernambuco,Marronzinho PSP,14444,Presidente,1989,Turno 1
Alagoas,Marronzinho PSP,2941,Presidente,1989,Turno 1
Sergipe,Marronzinho PSP,5661,Presidente,1989,Turno 1
Bahia,Marronzinho PSP,24301,Presidente,1989,Turno 1
Minas Gerais,Marronzinho PSP,38093,Presidente,1989,Turno 1
Espírito Santo,Marronzinho PSP,5459,Presidente,1989,Turno 1
Rio de Janeiro,Marronzinho PSP,16466,Presidente,1989,Turno 1
São Paulo,Marronzinho PSP,37525,Presidente,1989,Turno 1
Paraná,Marronzinho PSP,13761,Presidente,1989,Turno 1
Santa Catarina,Marronzinho PSP,6095,Presidente,1989,Turno 1
R. G. do Sul,Marronzinho PSP,10302,Presidente,1989,Turno 1
M. G. do Sul,Marronzinho PSP,2355,Presidente,1989,Turno 1
Mato Grosso,Marronzinho PSP,2877,Presidente,1989,Turno 1
Goiás,Marronzinho PSP,5255,Presidente,1989,Turno 1
Distrito Federal,Marronzinho PSP,1722,Presidente,1989,Turno 1
Rondônia,Paulo Gontijo  PP,1002,Presidente,1989,Turno 1
Acre,Paulo Gontijo  PP,503,Presidente,1989,Turno 1
Amazonas,Paulo Gontijo  PP,1542,Presidente,1989,Turno 1
Roraima,Paulo Gontijo  PP,214,Presidente,1989,Turno 1
Pará,Paulo Gontijo  PP,5726,Presidente,1989,Turno 1
Amapá,Paulo Gontijo  PP,240,Presidente,1989,Turno 1
Tocantins,Paulo Gontijo  PP,2064,Presidente,1989,Turno 1
Maranhão,Paulo Gontijo  PP,12196,Presidente,1989,Turno 1
Piauí,Paulo Gontijo  PP,9002,Presidente,1989,Turno 1
Ceará,Paulo Gontijo  PP,24984,Presidente,1989,Turno 1
R. G. do Norte,Paulo Gontijo  PP,6189,Presidente,1989,Turno 1
Paraíba,Paulo Gontijo  PP,8694,Presidente,1989,Turno 1
Pernambuco,Paulo Gontijo  PP,15011,Presidente,1989,Turno 1
Alagoas,Paulo Gontijo  PP,9346,Presidente,1989,Turno 1
Sergipe,Paulo Gontijo  PP,4507,Presidente,1989,Turno 1
