estado,nome,partido,coligacao,votos,porcentagem,cargo,ano,turno
Paraíba,Mário Covas ,PSDB,PSDB,94774,0.14,Presidente,1989,Turno 1
Pernambuco,Mário Covas ,PSDB,PSDB,101093,0.15,Presidente,1989,Turno 1
Alagoas,Mário Covas ,PSDB,PSDB,67240,0.1,Presidente,1989,Turno 1
Sergipe,Mário Covas ,PSDB,PSDB,39499,0.06,Presidente,1989,Turno 1
Bahia,Mário Covas ,PSDB,PSDB,248803,0.37,Presidente,1989,Turno 1
Minas Gerais,Mário Covas ,PSDB,PSDB,799227,1.18,Presidente,1989,Turno 1
Espírito Santo,Mário Covas ,PSDB,PSDB,118048,0.17,Presidente,1989,Turno 1
Rio de Janeiro,Mário Covas ,PSDB,PSDB,643786,0.95,Presidente,1989,Turno 1
São Paulo,Mário Covas ,PSDB,PSDB,3802330,5.62,Presidente,1989,Turno 1
Paraná,Mário Covas ,PSDB,PSDB,325652,0.48,Presidente,1989,Turno 1
Santa Catarina,Mário Covas ,PSDB,PSDB,177980,0.26,Presidente,1989,Turno 1
R. G. do Sul,Mário Covas ,PSDB,PSDB,249384,0.37,Presidente,1989,Turno 1
M. G. do Sul,Mário Covas ,PSDB,PSDB,50465,0.07,Presidente,1989,Turno 1
Mato Grosso,Mário Covas ,PSDB,PSDB,33472,0.05,Presidente,1989,Turno 1
Goiás,Mário Covas ,PSDB,PSDB,101514,0.15,Presidente,1989,Turno 1
Distrito Federal,Mário Covas ,PSDB,PSDB,135227,0.2,Presidente,1989,Turno 1
Rondônia,Paulo Maluf ,PDS,PDS,24934,0.04,Presidente,1989,Turno 1
Acre,Paulo Maluf ,PDS,PDS,12882,0.02,Presidente,1989,Turno 1
Amazonas,Paulo Maluf ,PDS,PDS,24832,0.04,Presidente,1989,Turno 1
Roraima,Paulo Maluf ,PDS,PDS,1377,0,Presidente,1989,Turno 1
Pará,Paulo Maluf ,PDS,PDS,62848,0.09,Presidente,1989,Turno 1
Amapá,Paulo Maluf ,PDS,PDS,1960,0,Presidente,1989,Turno 1
Tocantins,Paulo Maluf ,PDS,PDS,13258,0.02,Presidente,1989,Turno 1
Maranhão,Paulo Maluf ,PDS,PDS,35939,0.05,Presidente,1989,Turno 1
Piauí,Paulo Maluf ,PDS,PDS,38236,0.06,Presidente,1989,Turno 1
