estado,ano,turno,situacao,quantidade,proporcao
Mato Grosso,2002,1,VALIDOS,1251381,0.7233324200501496
Mato Grosso,2002,2,DEMAIS,538227,0.3111099165212928
Mato Grosso,2002,2,VALIDOS,1191795,0.6888900834787072
Mato Grosso,2006,1,DEMAIS,2438904,0.6284960340571157
Mato Grosso,2006,1,VALIDOS,1441636,0.37150396594288426
Mato Grosso,2006,2,DEMAIS,2449379,0.6311954006401171
Mato Grosso,2006,2,VALIDOS,1431161,0.3688045993598829
Mato Grosso,2010,1,DEMAIS,557439,0.26620366832980585
Mato Grosso,2010,1,VALIDOS,1536593,0.7337963316701942
Mato Grosso,2010,2,DEMAIS,601453,0.287212436816683
Mato Grosso,2010,2,VALIDOS,1492652,0.7127875631833169
Mato Grosso,2014,1,DEMAIS,629496,0.2876666317839146
Mato Grosso,2014,1,VALIDOS,1558787,0.7123333682160854
Mato Grosso,2014,2,DEMAIS,606117,0.27697493906356674
Mato Grosso,2014,2,VALIDOS,1582229,0.7230250609364333
Mato Grosso,1998,1,DEMAIS,608398,0.4011985880189996
Mato Grosso,1998,1,VALIDOS,908053,0.5988014119810003
Minas Gerais,1989,1,DEMAIS,1676211,0.1776945507750737
Minas Gerais,1989,1,VALIDOS,7756892,0.8223054492249263
Minas Gerais,1989,2,DEMAIS,1676211,0.1776945507750737
Minas Gerais,1989,2,VALIDOS,7756892,0.8223054492249263
Minas Gerais,1994,1,DEMAIS,3560892,0.3372140163691546
Minas Gerais,1994,1,VALIDOS,6998847,0.6627859836308454
Minas Gerais,1998,1,DEMAIS,4226386,0.3577080439634325
Minas Gerais,1998,1,VALIDOS,7588797,0.6422919560365675
Minas Gerais,2002,1,DEMAIS,3267453,0.25767370020182034
Minas Gerais,2002,1,VALIDOS,9413131,0.7423262997981797
Minas Gerais,2002,2,DEMAIS,3071934,0.24225493084545632
Minas Gerais,2002,2,VALIDOS,9608650,0.7577450691545436
Minas Gerais,2006,1,DEMAIS,17138903,0.6264338907660366
Minas Gerais,2006,1,VALIDOS,10220573,0.3735661092339634
Minas Gerais,2006,2,DEMAIS,16915831,0.6182805182379955
Minas Gerais,2006,2,VALIDOS,10443645,0.3817194817620045
Minas Gerais,2010,1,DEMAIS,3728346,0.25688045708351714
Minas Gerais,2010,1,VALIDOS,10785588,0.7431195429164829
Minas Gerais,2010,2,DEMAIS,3871694,0.2667537451306876
Minas Gerais,2010,2,VALIDOS,10642419,0.7332462548693124
Minas Gerais,2014,1,DEMAIS,4129695,0.27103822131189825
Minas Gerais,2014,1,VALIDOS,11106883,0.7289617786881017
Minas Gerais,2014,2,DEMAIS,3828856,0.2512851035489105
Minas Gerais,2014,2,VALIDOS,11408243,0.7487148964510896
Pará,1989,1,DEMAIS,661526,0.30250149530009346
Pará,1989,1,VALIDOS,1525326,0.6974985046999065
Pará,1989,2,DEMAIS,661526,0.30250149530009346
Pará,1989,2,VALIDOS,1525326,0.6974985046999065
Pará,1994,1,DEMAIS,1298179,0.4664455248423448
Pará,1994,1,VALIDOS,1484952,0.5335544751576552
Pará,1998,1,DEMAIS,1423940,0.4421105707999744
Pará,1998,1,VALIDOS,1796838,0.5578894292000256
Pará,2002,1,DEMAIS,1036975,0.29054113119327024
Pará,2002,1,VALIDOS,2532141,0.7094588688067297
Pará,2002,2,DEMAIS,1067237,0.2990018022975161
Pará,2002,2,VALIDOS,2502096,0.700998197702484
Pará,2006,1,DEMAIS,5164794,0.6211066842884407
Pará,2006,1,VALIDOS,3150676,0.3788933157115593
Pará,2006,2,DEMAIS,5254752,0.6319248340743218
Pará,2006,2,VALIDOS,3060718,0.3680751659256783
Pará,2010,1,DEMAIS,1216851,0.2554566190154794
Pará,2010,1,VALIDOS,3546584,0.7445433809845207
Pará,2010,2,DEMAIS,1395974,0.29305199817531846
Pará,2010,2,VALIDOS,3367597,0.7069480018246815
Pará,2014,1,DEMAIS,1348276,0.25998630916225574
Pará,2014,1,VALIDOS,3837674,0.7400136908377443
Pará,2014,2,DEMAIS,1521732,0.2934290211531709
Pará,2014,2,VALIDOS,3664299,0.7065709788468291
Paraíba,1989,1,DEMAIS,456226,0.25974811220797794
Paraíba,1989,1,VALIDOS,1300191,0.740251887792022
Paraíba,1989,2,DEMAIS,456226,0.25974811220797794
Paraíba,1989,2,VALIDOS,1300191,0.740251887792022
Paraíba,1994,1,DEMAIS,883098,0.4222306797111746
Paraíba,1994,1,VALIDOS,1208408,0.5777693202888253
Paraíba,1998,1,DEMAIS,1027779,0.462284870993438
Paraíba,1998,1,VALIDOS,1195480,0.537715129006562
Paraíba,2002,1,DEMAIS,742868,0.3199165571378616
Paraíba,2002,1,VALIDOS,1579200,0.6800834428621384
Paraíba,2002,2,DEMAIS,594638,0.2560812172597874
Paraíba,2002,2,VALIDOS,1727430,0.7439187827402126
Paraíba,2006,1,DEMAIS,3220878,0.6257130601616464
Paraíba,2006,1,VALIDOS,1926654,0.3742869398383536
Paraíba,2006,2,DEMAIS,3176630,0.6171170961151868
Paraíba,2006,2,VALIDOS,1970902,0.38288290388481316
Paraíba,2010,1,DEMAIS,800327,0.29227009476272436
Paraíba,2010,1,VALIDOS,1937986,0.7077299052372756
Paraíba,2010,2,DEMAIS,741079,0.27062590450078494
Paraíba,2010,2,VALIDOS,1997310,0.7293740954992151
Paraíba,2014,1,DEMAIS,736970,0.2599741355772684
Paraíba,2014,1,VALIDOS,2097812,0.7400258644227317
Paraíba,2014,2,DEMAIS,685976,0.24197708544982505
Paraíba,2014,2,VALIDOS,2148904,0.758022914550175
Paraná,1989,1,DEMAIS,768402,0.15229071675149922
Paraná,1989,1,VALIDOS,4277224,0.8477092832485008
Paraná,1989,2,DEMAIS,768402,0.15229071675149922
Paraná,1989,2,VALIDOS,4277224,0.8477092832485008
Paraná,1994,1,DEMAIS,1797847,0.3128650874626309
Paraná,1994,1,VALIDOS,3948550,0.687134912537369
Paraná,1998,1,DEMAIS,2177302,0.3410448591133437
Paraná,1998,1,VALIDOS,4206908,0.6589551408866563
Paraná,2002,1,DEMAIS,1596152,0.23954085771172323
Paraná,2002,1,VALIDOS,5067229,0.7604591422882768
Paraná,2002,2,DEMAIS,1716756,0.257640378060327
Paraná,2002,2,VALIDOS,4946625,0.742359621939673
Paraná,2006,1,DEMAIS,8671096,0.6088177971950739
Paraná,2006,1,VALIDOS,5571418,0.39118220280492616
Paraná,2006,2,DEMAIS,8834394,0.6202833291931467
Paraná,2006,2,VALIDOS,5408120,0.37971667080685334
Paraná,2010,1,DEMAIS,1662998,0.2188731533131289
Paraná,2010,1,VALIDOS,5935001,0.7811268466868712
Paraná,2010,2,DEMAIS,1778832,0.23411432333254453
Paraná,2010,2,VALIDOS,5819302,0.7658856766674554
Paraná,2014,1,DEMAIS,1798859,0.22882837684105842
Paraná,2014,1,VALIDOS,6062312,0.7711716231589416
Paraná,2014,2,DEMAIS,1687747,0.21468478328341928
Paraná,2014,2,VALIDOS,6173765,0.7853152167165808
Pernambuco,1989,1,DEMAIS,937315,0.2490115279892395
Pernambuco,1989,1,VALIDOS,2826828,0.7509884720107605
Pernambuco,1989,2,DEMAIS,937315,0.2490115279892395
Pernambuco,1989,2,VALIDOS,2826828,0.7509884720107605
Pernambuco,1994,1,DEMAIS,1900277,0.42531314151373295
Pernambuco,1994,1,VALIDOS,2567671,0.5746868584862671
Pernambuco,1998,1,DEMAIS,2257748,0.4410439335039362
Pernambuco,1998,1,VALIDOS,2861352,0.5589560664960638
Pernambuco,2002,1,DEMAIS,1827345,0.33860621750424846
Pernambuco,2002,1,VALIDOS,3569322,0.6613937824957515
Pernambuco,2002,2,DEMAIS,1543862,0.2860769434171128
Pernambuco,2002,2,VALIDOS,3852805,0.7139230565828871
Pernambuco,2006,1,DEMAIS,7448680,0.6383293067183682
Pernambuco,2006,1,VALIDOS,4220344,0.36167069328163176
Pernambuco,2006,2,DEMAIS,7513966,0.6439241191037057
Pernambuco,2006,2,VALIDOS,4155058,0.35607588089629433
Pernambuco,2010,1,DEMAIS,1804281,0.2883982690487041
Pernambuco,2010,1,VALIDOS,4451932,0.711601730951296
Pernambuco,2010,2,DEMAIS,1685196,0.2693562287736814
