estado,partido,votos,eleicao,ano
Espírito Santo,PMDB,485154,Camara dos Deputados 1986,1986
Rio de Janeiro,PMDB,1300634,Camara dos Deputados 1986,1986
São Paulo,PMDB,5274397,Camara dos Deputados 1986,1986
Paraná,PMDB,2091210,Camara dos Deputados 1986,1986
Santa Catarina,PMDB,831634,Camara dos Deputados 1986,1986
R. G. do Sul,PMDB,1886580,Camara dos Deputados 1986,1986
M. G. do Sul,PMDB,238865,Camara dos Deputados 1986,1986
Mato Grosso,PMDB,290525,Camara dos Deputados 1986,1986
Goiás,PMDB,941038,Camara dos Deputados 1986,1986
Distrito Federal,PMDB,155119,Camara dos Deputados 1986,1986
Rondônia,PFL,71984,Camara dos Deputados 1986,1986
Acre,PFL,6277,Camara dos Deputados 1986,1986
Amazonas,PFL,88643,Camara dos Deputados 1986,1986
Roraima,PFL,12042,Camara dos Deputados 1986,1986
Pará,PFL,103708,Camara dos Deputados 1986,1986
Amapá,PFL,31520,Camara dos Deputados 1986,1986
Maranhão,PFL,495542,Camara dos Deputados 1986,1986
Piauí,PFL,382812,Camara dos Deputados 1986,1986
Ceará,PFL,466832,Camara dos Deputados 1986,1986
R. G. do Norte,PFL,247103,Camara dos Deputados 1986,1986
Paraíba,PFL,312158,Camara dos Deputados 1986,1986
Pernambuco,PFL,795874,Camara dos Deputados 1986,1986
Alagoas,PFL,188564,Camara dos Deputados 1986,1986
Sergipe,PFL,169543,Camara dos Deputados 1986,1986
Bahia,PFL,867080,Camara dos Deputados 1986,1986
Minas Gerais,PFL,854873,Camara dos Deputados 1986,1986
Espírito Santo,PFL,182199,Camara dos Deputados 1986,1986
Rio de Janeiro,PFL,707194,Camara dos Deputados 1986,1986
São Paulo,PFL,750566,Camara dos Deputados 1986,1986
Paraná,PFL,470641,Camara dos Deputados 1986,1986
Santa Catarina,PFL,316964,Camara dos Deputados 1986,1986
R. G. do Sul,PFL,280263,Camara dos Deputados 1986,1986
M. G. do Sul,PFL,179623,Camara dos Deputados 1986,1986
Mato Grosso,PFL,103366,Camara dos Deputados 1986,1986
Goiás,PFL,131156,Camara dos Deputados 1986,1986
Distrito Federal,PFL,158182,Camara dos Deputados 1986,1986
Rondônia,PDS,2462,Camara dos Deputados 1986,1986
Acre,PDS,23750,Camara dos Deputados 1986,1986
Amazonas,PDS,2247,Camara dos Deputados 1986,1986
Roraima,PDS,445,Camara dos Deputados 1986,1986
Pará,PDS,120464,Camara dos Deputados 1986,1986
Amapá,PDS,NA,Camara dos Deputados 1986,1986
Maranhão,PDS,115994,Camara dos Deputados 1986,1986
Piauí,PDS,150820,Camara dos Deputados 1986,1986
Ceará,PDS,208929,Camara dos Deputados 1986,1986
R. G. do Norte,PDS,156322,Camara dos Deputados 1986,1986
Paraíba,PDS,70858,Camara dos Deputados 1986,1986
Pernambuco,PDS,6299,Camara dos Deputados 1986,1986
Alagoas,PDS,NA,Camara dos Deputados 1986,1986
Sergipe,PDS,24328,Camara dos Deputados 1986,1986
Bahia,PDS,41056,Camara dos Deputados 1986,1986
Minas Gerais,PDS,243658,Camara dos Deputados 1986,1986
Espírito Santo,PDS,8899,Camara dos Deputados 1986,1986
Rio de Janeiro,PDS,163950,Camara dos Deputados 1986,1986
São Paulo,PDS,1159767,Camara dos Deputados 1986,1986
Paraná,PDS,87879,Camara dos Deputados 1986,1986
Santa Catarina,PDS,416422,Camara dos Deputados 1986,1986
R. G. do Sul,PDS,614663,Camara dos Deputados 1986,1986
M. G. do Sul,PDS,1239,Camara dos Deputados 1986,1986
Mato Grosso,PDS,25140,Camara dos Deputados 1986,1986
Goiás,PDS,75253,Camara dos Deputados 1986,1986
Distrito Federal,PDS,10891,Camara dos Deputados 1986,1986
Rondônia,PT,19734,Camara dos Deputados 1986,1986
Acre,PT,6418,Camara dos Deputados 1986,1986
Amazonas,PT,15751,Camara dos Deputados 1986,1986
Roraima,PT,651,Camara dos Deputados 1986,1986
Pará,PT,75591,Camara dos Deputados 1986,1986
Amapá,PT,7590,Camara dos Deputados 1986,1986
Maranhão,PT,12754,Camara dos Deputados 1986,1986
Piauí,PT,16696,Camara dos Deputados 1986,1986
Ceará,PT,60507,Camara dos Deputados 1986,1986
R. G. do Norte,PT,6217,Camara dos Deputados 1986,1986
Paraíba,PT,24519,Camara dos Deputados 1986,1986
Pernambuco,PT,22264,Camara dos Deputados 1986,1986
Alagoas,PT,18592,Camara dos Deputados 1986,1986
Sergipe,PT,17136,Camara dos Deputados 1986,1986
Bahia,PT,68312,Camara dos Deputados 1986,1986
Minas Gerais,PT,329764,Camara dos Deputados 1986,1986
Espírito Santo,PT,111656,Camara dos Deputados 1986,1986
Rio de Janeiro,PT,215572,Camara dos Deputados 1986,1986
São Paulo,PT,1581237,Camara dos Deputados 1986,1986
Paraná,PT,110777,Camara dos Deputados 1986,1986
Santa Catarina,PT,73399,Camara dos Deputados 1986,1986
R. G. do Sul,PT,316299,Camara dos Deputados 1986,1986
M. G. do Sul,PT,15558,Camara dos Deputados 1986,1986
Mato Grosso,PT,5982,Camara dos Deputados 1986,1986
