estado,partido,votos,eleicao,ano
Amazonas,PL,257729,Camara dos Deputados 2002,2002
Roraima,PL,18474,Camara dos Deputados 2002,2002
Pará,PL,127862,Camara dos Deputados 2002,2002
Amapá,PL,21425,Camara dos Deputados 2002,2002
Tocantins,PL,NA,Camara dos Deputados 2002,2002
Maranhão,PL,81972,Camara dos Deputados 2002,2002
Piauí,PL,7614,Camara dos Deputados 2002,2002
Ceará,PL,151584,Camara dos Deputados 2002,2002
R. G. do Norte,PL,7610,Camara dos Deputados 2002,2002
Paraíba,PL,77458,Camara dos Deputados 2002,2002
Pernambuco,PL,171850,Camara dos Deputados 2002,2002
Alagoas,PL,93276,Camara dos Deputados 2002,2002
Sergipe,PL,55631,Camara dos Deputados 2002,2002
Bahia,PL,150884,Camara dos Deputados 2002,2002
Minas Gerais,PL,507661,Camara dos Deputados 2002,2002
Espírito Santo,PL,50232,Camara dos Deputados 2002,2002
Rio de Janeiro,PL,604441,Camara dos Deputados 2002,2002
São Paulo,PL,788151,Camara dos Deputados 2002,2002
Paraná,PL,119490,Camara dos Deputados 2002,2002
Santa Catarina,PL,43990,Camara dos Deputados 2002,2002
R. G. do Sul,PL,193676,Camara dos Deputados 2002,2002
M. G. do Sul,PL,35135,Camara dos Deputados 2002,2002
Mato Grosso,PL,155769,Camara dos Deputados 2002,2002
Goiás,PL,9690,Camara dos Deputados 2002,2002
Distrito Federal,PL,15676,Camara dos Deputados 2002,2002
Rondônia,PPS,39049,Camara dos Deputados 2002,2002
Acre,PPS,33863,Camara dos Deputados 2002,2002
Amazonas,PPS,9475,Camara dos Deputados 2002,2002
Roraima,PPS,6456,Camara dos Deputados 2002,2002
Pará,PPS,20847,Camara dos Deputados 2002,2002
Amapá,PPS,2277,Camara dos Deputados 2002,2002
Tocantins,PPS,7186,Camara dos Deputados 2002,2002
Maranhão,PPS,67253,Camara dos Deputados 2002,2002
Piauí,PPS,9889,Camara dos Deputados 2002,2002
Ceará,PPS,197640,Camara dos Deputados 2002,2002
R. G. do Norte,PPS,9686,Camara dos Deputados 2002,2002
Paraíba,PPS,13660,Camara dos Deputados 2002,2002
Pernambuco,PPS,147227,Camara dos Deputados 2002,2002
Alagoas,PPS,42274,Camara dos Deputados 2002,2002
Sergipe,PPS,45218,Camara dos Deputados 2002,2002
Bahia,PPS,90584,Camara dos Deputados 2002,2002
Minas Gerais,PPS,436792,Camara dos Deputados 2002,2002
Espírito Santo,PPS,8900,Camara dos Deputados 2002,2002
Rio de Janeiro,PPS,72807,Camara dos Deputados 2002,2002
São Paulo,PPS,739400,Camara dos Deputados 2002,2002
Paraná,PPS,307478,Camara dos Deputados 2002,2002
Santa Catarina,PPS,31239,Camara dos Deputados 2002,2002
R. G. do Sul,PPS,205701,Camara dos Deputados 2002,2002
M. G. do Sul,PPS,61239,Camara dos Deputados 2002,2002
Mato Grosso,PPS,40789,Camara dos Deputados 2002,2002
Goiás,PPS,20118,Camara dos Deputados 2002,2002
Distrito Federal,PPS,15292,Camara dos Deputados 2002,2002
Rondônia,PC do B,2421,Camara dos Deputados 2002,2002
Acre,PC do B,22835,Camara dos Deputados 2002,2002
Amazonas,PC do B,200850,Camara dos Deputados 2002,2002
Roraima,PC do B,2380,Camara dos Deputados 2002,2002
Pará,PC do B,53433,Camara dos Deputados 2002,2002
Amapá,PC do B,421,Camara dos Deputados 2002,2002
Tocantins,PC do B,84,Camara dos Deputados 2002,2002
Maranhão,PC do B,4780,Camara dos Deputados 2002,2002
Piauí,PC do B,77709,Camara dos Deputados 2002,2002
Ceará,PC do B,329150,Camara dos Deputados 2002,2002
R. G. do Norte,PC do B,7859,Camara dos Deputados 2002,2002
Paraíba,PC do B,10827,Camara dos Deputados 2002,2002
Pernambuco,PC do B,75671,Camara dos Deputados 2002,2002
Alagoas,PC do B,11145,Camara dos Deputados 2002,2002
Sergipe,PC do B,23435,Camara dos Deputados 2002,2002
Bahia,PC do B,229942,Camara dos Deputados 2002,2002
Minas Gerais,PC do B,81351,Camara dos Deputados 2002,2002
Espírito Santo,PC do B,16216,Camara dos Deputados 2002,2002
Rio de Janeiro,PC do B,297159,Camara dos Deputados 2002,2002
São Paulo,PC do B,245460,Camara dos Deputados 2002,2002
Paraná,PC do B,25262,Camara dos Deputados 2002,2002
Santa Catarina,PC do B,22828,Camara dos Deputados 2002,2002
R. G. do Sul,PC do B,56167,Camara dos Deputados 2002,2002
M. G. do Sul,PC do B,146,Camara dos Deputados 2002,2002
Mato Grosso,PC do B,1839,Camara dos Deputados 2002,2002
Goiás,PC do B,71411,Camara dos Deputados 2002,2002
Distrito Federal,PC do B,97052,Camara dos Deputados 2002,2002
Rondônia,PRONA,882,Camara dos Deputados 2002,2002
Acre,PRONA,NA,Camara dos Deputados 2002,2002
Amazonas,PRONA,1998,Camara dos Deputados 2002,2002
Roraima,PRONA,NA,Camara dos Deputados 2002,2002
Pará,PRONA,1531,Camara dos Deputados 2002,2002
Amapá,PRONA,41,Camara dos Deputados 2002,2002
Tocantins,PRONA,161,Camara dos Deputados 2002,2002
Maranhão,PRONA,NA,Camara dos Deputados 2002,2002
Piauí,PRONA,NA,Camara dos Deputados 2002,2002
Ceará,PRONA,NA,Camara dos Deputados 2002,2002
R. G. do Norte,PRONA,NA,Camara dos Deputados 2002,2002
Paraíba,PRONA,NA,Camara dos Deputados 2002,2002
Pernambuco,PRONA,NA,Camara dos Deputados 2002,2002
Alagoas,PRONA,37651,Camara dos Deputados 2002,2002
Sergipe,PRONA,NA,Camara dos Deputados 2002,2002
Bahia,PRONA,NA,Camara dos Deputados 2002,2002
Minas Gerais,PRONA,NA,Camara dos Deputados 2002,2002
Espírito Santo,PRONA,933,Camara dos Deputados 2002,2002
Rio de Janeiro,PRONA,104108,Camara dos Deputados 2002,2002
São Paulo,PRONA,1635393,Camara dos Deputados 2002,2002
Paraná,PRONA,5939,Camara dos Deputados 2002,2002
Santa Catarina,PRONA,NA,Camara dos Deputados 2002,2002
R. G. do Sul,PRONA,14401,Camara dos Deputados 2002,2002
M. G. do Sul,PRONA,1116,Camara dos Deputados 2002,2002
Mato Grosso,PRONA,NA,Camara dos Deputados 2002,2002
Goiás,PRONA,NA,Camara dos Deputados 2002,2002
Distrito Federal,PRONA,501,Camara dos Deputados 2002,2002
Rondônia,PV,10610,Camara dos Deputados 2002,2002
Acre,PV,7497,Camara dos Deputados 2002,2002
Amazonas,PV,1923,Camara dos Deputados 2002,2002
Roraima,PV,NA,Camara dos Deputados 2002,2002
Pará,PV,22349,Camara dos Deputados 2002,2002
Amapá,PV,2953,Camara dos Deputados 2002,2002
Tocantins,PV,NA,Camara dos Deputados 2002,2002
Maranhão,PV,10203,Camara dos Deputados 2002,2002
Piauí,PV,2294,Camara dos Deputados 2002,2002
Ceará,PV,4378,Camara dos Deputados 2002,2002
R. G. do Norte,PV,3588,Camara dos Deputados 2002,2002
Paraíba,PV,7577,Camara dos Deputados 2002,2002
Pernambuco,PV,27581,Camara dos Deputados 2002,2002
Alagoas,PV,1074,Camara dos Deputados 2002,2002
Sergipe,PV,5876,Camara dos Deputados 2002,2002
Bahia,PV,61605,Camara dos Deputados 2002,2002
Minas Gerais,PV,125199,Camara dos Deputados 2002,2002
Espírito Santo,PV,6033,Camara dos Deputados 2002,2002
Rio de Janeiro,PV,204217,Camara dos Deputados 2002,2002
São Paulo,PV,620157,Camara dos Deputados 2002,2002
Paraná,PV,31283,Camara dos Deputados 2002,2002
Santa Catarina,PV,6460,Camara dos Deputados 2002,2002
R. G. do Sul,PV,15656,Camara dos Deputados 2002,2002
M. G. do Sul,PV,553,Camara dos Deputados 2002,2002
Mato Grosso,PV,1536,Camara dos Deputados 2002,2002
Goiás,PV,1510,Camara dos Deputados 2002,2002
Distrito Federal,PV,252,Camara dos Deputados 2002,2002
Rondônia,PSC,NA,Camara dos Deputados 2002,2002
Acre,PSC,276,Camara dos Deputados 2002,2002
Amazonas,PSC,24367,Camara dos Deputados 2002,2002
Roraima,PSC,40,Camara dos Deputados 2002,2002
Pará,PSC,4807,Camara dos Deputados 2002,2002
Amapá,PSC,249,Camara dos Deputados 2002,2002
Tocantins,PSC,534,Camara dos Deputados 2002,2002
Maranhão,PSC,3082,Camara dos Deputados 2002,2002
Piauí,PSC,1399,Camara dos Deputados 2002,2002
Ceará,PSC,3370,Camara dos Deputados 2002,2002
R. G. do Norte,PSC,1765,Camara dos Deputados 2002,2002
Paraíba,PSC,1655,Camara dos Deputados 2002,2002
Pernambuco,PSC,11147,Camara dos Deputados 2002,2002
Alagoas,PSC,404,Camara dos Deputados 2002,2002
Sergipe,PSC,3448,Camara dos Deputados 2002,2002
Bahia,PSC,8030,Camara dos Deputados 2002,2002
Minas Gerais,PSC,12590,Camara dos Deputados 2002,2002
Espírito Santo,PSC,65731,Camara dos Deputados 2002,2002
Rio de Janeiro,PSC,206139,Camara dos Deputados 2002,2002
São Paulo,PSC,42829,Camara dos Deputados 2002,2002
Paraná,PSC,44634,Camara dos Deputados 2002,2002
Santa Catarina,PSC,1475,Camara dos Deputados 2002,2002
R. G. do Sul,PSC,6164,Camara dos Deputados 2002,2002
M. G. do Sul,PSC,187,Camara dos Deputados 2002,2002
Mato Grosso,PSC,388,Camara dos Deputados 2002,2002
Goiás,PSC,56929,Camara dos Deputados 2002,2002
Distrito Federal,PSC,2972,Camara dos Deputados 2002,2002
Rondônia,PST,NA,Camara dos Deputados 2002,2002
Acre,PST,1679,Camara dos Deputados 2002,2002
Amazonas,PST,7742,Camara dos Deputados 2002,2002
Roraima,PST,16097,Camara dos Deputados 2002,2002
Pará,PST,3611,Camara dos Deputados 2002,2002
Amapá,PST,190,Camara dos Deputados 2002,2002
Tocantins,PST,1374,Camara dos Deputados 2002,2002
Maranhão,PST,3107,Camara dos Deputados 2002,2002
Piauí,PST,366,Camara dos Deputados 2002,2002
Ceará,PST,5825,Camara dos Deputados 2002,2002
R. G. do Norte,PST,3898,Camara dos Deputados 2002,2002
Paraíba,PST,773,Camara dos Deputados 2002,2002
Pernambuco,PST,12667,Camara dos Deputados 2002,2002
Alagoas,PST,556,Camara dos Deputados 2002,2002
Sergipe,PST,1181,Camara dos Deputados 2002,2002
Bahia,PST,21070,Camara dos Deputados 2002,2002
Minas Gerais,PST,286804,Camara dos Deputados 2002,2002
Espírito Santo,PST,1037,Camara dos Deputados 2002,2002
Rio de Janeiro,PST,36169,Camara dos Deputados 2002,2002
São Paulo,PST,57423,Camara dos Deputados 2002,2002
Paraná,PST,6155,Camara dos Deputados 2002,2002
Santa Catarina,PST,2247,Camara dos Deputados 2002,2002
R. G. do Sul,PST,NA,Camara dos Deputados 2002,2002
M. G. do Sul,PST,9362,Camara dos Deputados 2002,2002
Mato Grosso,PST,NA,Camara dos Deputados 2002,2002
Goiás,PST,24711,Camara dos Deputados 2002,2002
Distrito Federal,PST,NA,Camara dos Deputados 2002,2002
Rondônia,PSD,5245,Camara dos Deputados 2002,2002
Acre,PSD,NA,Camara dos Deputados 2002,2002
Amazonas,PSD,NA,Camara dos Deputados 2002,2002
Roraima,PSD,310,Camara dos Deputados 2002,2002
Pará,PSD,15759,Camara dos Deputados 2002,2002
Amapá,PSD,8271,Camara dos Deputados 2002,2002
Tocantins,PSD,36907,Camara dos Deputados 2002,2002
Maranhão,PSD,18660,Camara dos Deputados 2002,2002
Piauí,PSD,1683,Camara dos Deputados 2002,2002
Ceará,PSD,8435,Camara dos Deputados 2002,2002
R. G. do Norte,PSD,2460,Camara dos Deputados 2002,2002
Paraíba,PSD,75276,Camara dos Deputados 2002,2002
Pernambuco,PSD,12951,Camara dos Deputados 2002,2002
Alagoas,PSD,NA,Camara dos Deputados 2002,2002
Sergipe,PSD,1018,Camara dos Deputados 2002,2002
Bahia,PSD,12954,Camara dos Deputados 2002,2002
Minas Gerais,PSD,138645,Camara dos Deputados 2002,2002
Espírito Santo,PSD,1113,Camara dos Deputados 2002,2002
Rio de Janeiro,PSD,37849,Camara dos Deputados 2002,2002
São Paulo,PSD,33169,Camara dos Deputados 2002,2002
Paraná,PSD,5807,Camara dos Deputados 2002,2002
Santa Catarina,PSD,978,Camara dos Deputados 2002,2002
R. G. do Sul,PSD,NA,Camara dos Deputados 2002,2002
M. G. do Sul,PSD,1320,Camara dos Deputados 2002,2002
Mato Grosso,PSD,844,Camara dos Deputados 2002,2002
Goiás,PSD,NA,Camara dos Deputados 2002,2002
Distrito Federal,PSD,32732,Camara dos Deputados 2002,2002
Rondônia,PSL,3837,Camara dos Deputados 2002,2002
Acre,PSL,528,Camara dos Deputados 2002,2002
Amazonas,PSL,59992,Camara dos Deputados 2002,2002
Roraima,PSL,717,Camara dos Deputados 2002,2002
Pará,PSL,1366,Camara dos Deputados 2002,2002
Amapá,PSL,7462,Camara dos Deputados 2002,2002
Tocantins,PSL,845,Camara dos Deputados 2002,2002
Maranhão,PSL,933,Camara dos Deputados 2002,2002
Piauí,PSL,NA,Camara dos Deputados 2002,2002
Ceará,PSL,3394,Camara dos Deputados 2002,2002
R. G. do Norte,PSL,600,Camara dos Deputados 2002,2002
Paraíba,PSL,2624,Camara dos Deputados 2002,2002
Pernambuco,PSL,25731,Camara dos Deputados 2002,2002
Alagoas,PSL,2726,Camara dos Deputados 2002,2002
Sergipe,PSL,NA,Camara dos Deputados 2002,2002
Bahia,PSL,NA,Camara dos Deputados 2002,2002
Minas Gerais,PSL,131379,Camara dos Deputados 2002,2002
Espírito Santo,PSL,3571,Camara dos Deputados 2002,2002
Rio de Janeiro,PSL,10626,Camara dos Deputados 2002,2002
São Paulo,PSL,109923,Camara dos Deputados 2002,2002
Paraná,PSL,5895,Camara dos Deputados 2002,2002
Santa Catarina,PSL,951,Camara dos Deputados 2002,2002
R. G. do Sul,PSL,NA,Camara dos Deputados 2002,2002
M. G. do Sul,PSL,35412,Camara dos Deputados 2002,2002
Mato Grosso,PSL,NA,Camara dos Deputados 2002,2002
Goiás,PSL,NA,Camara dos Deputados 2002,2002
Distrito Federal,PSL,NA,Camara dos Deputados 2002,2002
Rondônia,PRTB,3294,Camara dos Deputados 2002,2002
Acre,PRTB,NA,Camara dos Deputados 2002,2002
Amazonas,PRTB,8241,Camara dos Deputados 2002,2002
Roraima,PRTB,1238,Camara dos Deputados 2002,2002
Pará,PRTB,1378,Camara dos Deputados 2002,2002
Amapá,PRTB,1027,Camara dos Deputados 2002,2002
Tocantins,PRTB,716,Camara dos Deputados 2002,2002
Maranhão,PRTB,17917,Camara dos Deputados 2002,2002
Piauí,PRTB,2806,Camara dos Deputados 2002,2002
Ceará,PRTB,1539,Camara dos Deputados 2002,2002
R. G. do Norte,PRTB,NA,Camara dos Deputados 2002,2002
Paraíba,PRTB,157,Camara dos Deputados 2002,2002
Pernambuco,PRTB,4763,Camara dos Deputados 2002,2002
Alagoas,PRTB,62381,Camara dos Deputados 2002,2002
Sergipe,PRTB,5341,Camara dos Deputados 2002,2002
Bahia,PRTB,5661,Camara dos Deputados 2002,2002
Minas Gerais,PRTB,92283,Camara dos Deputados 2002,2002
Espírito Santo,PRTB,3155,Camara dos Deputados 2002,2002
Rio de Janeiro,PRTB,43330,Camara dos Deputados 2002,2002
São Paulo,PRTB,26589,Camara dos Deputados 2002,2002
Paraná,PRTB,14555,Camara dos Deputados 2002,2002
Santa Catarina,PRTB,1323,Camara dos Deputados 2002,2002
R. G. do Sul,PRTB,NA,Camara dos Deputados 2002,2002
M. G. do Sul,PRTB,216,Camara dos Deputados 2002,2002
Mato Grosso,PRTB,385,Camara dos Deputados 2002,2002
Goiás,PRTB,NA,Camara dos Deputados 2002,2002
Distrito Federal,PRTB,5797,Camara dos Deputados 2002,2002
Rondônia,PHS,3975,Camara dos Deputados 2002,2002
Acre,PHS,NA,Camara dos Deputados 2002,2002
Amazonas,PHS,1297,Camara dos Deputados 2002,2002
Roraima,PHS,210,Camara dos Deputados 2002,2002
Pará,PHS,4549,Camara dos Deputados 2002,2002
Amapá,PHS,402,Camara dos Deputados 2002,2002
Tocantins,PHS,372,Camara dos Deputados 2002,2002
Maranhão,PHS,7164,Camara dos Deputados 2002,2002
Piauí,PHS,2280,Camara dos Deputados 2002,2002
Ceará,PHS,NA,Camara dos Deputados 2002,2002
R. G. do Norte,PHS,2665,Camara dos Deputados 2002,2002
Paraíba,PHS,1299,Camara dos Deputados 2002,2002
Pernambuco,PHS,8100,Camara dos Deputados 2002,2002
Alagoas,PHS,2660,Camara dos Deputados 2002,2002
Sergipe,PHS,553,Camara dos Deputados 2002,2002
Bahia,PHS,8140,Camara dos Deputados 2002,2002
Minas Gerais,PHS,60923,Camara dos Deputados 2002,2002
Espírito Santo,PHS,771,Camara dos Deputados 2002,2002
Rio de Janeiro,PHS,26049,Camara dos Deputados 2002,2002
São Paulo,PHS,44951,Camara dos Deputados 2002,2002
Paraná,PHS,33468,Camara dos Deputados 2002,2002
Santa Catarina,PHS,2041,Camara dos Deputados 2002,2002
R. G. do Sul,PHS,59955,Camara dos Deputados 2002,2002
M. G. do Sul,PHS,9997,Camara dos Deputados 2002,2002
Mato Grosso,PHS,8010,Camara dos Deputados 2002,2002
Goiás,PHS,NA,Camara dos Deputados 2002,2002
Distrito Federal,PHS,5089,Camara dos Deputados 2002,2002
Rondônia,PMN,2917,Camara dos Deputados 2002,2002
Acre,PMN,9911,Camara dos Deputados 2002,2002
Amazonas,PMN,2053,Camara dos Deputados 2002,2002
Roraima,PMN,521,Camara dos Deputados 2002,2002
Pará,PMN,1307,Camara dos Deputados 2002,2002
Amapá,PMN,391,Camara dos Deputados 2002,2002
Tocantins,PMN,428,Camara dos Deputados 2002,2002
Maranhão,PMN,5279,Camara dos Deputados 2002,2002
Piauí,PMN,1720,Camara dos Deputados 2002,2002
Ceará,PMN,6370,Camara dos Deputados 2002,2002
R. G. do Norte,PMN,3057,Camara dos Deputados 2002,2002
Paraíba,PMN,1351,Camara dos Deputados 2002,2002
Pernambuco,PMN,6188,Camara dos Deputados 2002,2002
Alagoas,PMN,3300,Camara dos Deputados 2002,2002
Sergipe,PMN,68689,Camara dos Deputados 2002,2002
Bahia,PMN,23148,Camara dos Deputados 2002,2002
Minas Gerais,PMN,27941,Camara dos Deputados 2002,2002
Espírito Santo,PMN,39481,Camara dos Deputados 2002,2002
Rio de Janeiro,PMN,7639,Camara dos Deputados 2002,2002
São Paulo,PMN,23826,Camara dos Deputados 2002,2002
Paraná,PMN,9586,Camara dos Deputados 2002,2002
Santa Catarina,PMN,6684,Camara dos Deputados 2002,2002
R. G. do Sul,PMN,3012,Camara dos Deputados 2002,2002
M. G. do Sul,PMN,4629,Camara dos Deputados 2002,2002
Mato Grosso,PMN,21538,Camara dos Deputados 2002,2002
Goiás,PMN,1268,Camara dos Deputados 2002,2002
Distrito Federal,PMN,641,Camara dos Deputados 2002,2002
Rondônia,PRP,802,Camara dos Deputados 2002,2002
Acre,PRP,NA,Camara dos Deputados 2002,2002
Amazonas,PRP,1512,Camara dos Deputados 2002,2002
Roraima,PRP,3171,Camara dos Deputados 2002,2002
Pará,PRP,5538,Camara dos Deputados 2002,2002
Amapá,PRP,346,Camara dos Deputados 2002,2002
Tocantins,PRP,1162,Camara dos Deputados 2002,2002
Maranhão,PRP,4132,Camara dos Deputados 2002,2002
Piauí,PRP,4879,Camara dos Deputados 2002,2002
Ceará,PRP,NA,Camara dos Deputados 2002,2002
R. G. do Norte,PRP,4758,Camara dos Deputados 2002,2002
Paraíba,PRP,20101,Camara dos Deputados 2002,2002
Pernambuco,PRP,9763,Camara dos Deputados 2002,2002
Alagoas,PRP,2758,Camara dos Deputados 2002,2002
Sergipe,PRP,NA,Camara dos Deputados 2002,2002
Bahia,PRP,8625,Camara dos Deputados 2002,2002
Minas Gerais,PRP,17422,Camara dos Deputados 2002,2002
Espírito Santo,PRP,2013,Camara dos Deputados 2002,2002
Rio de Janeiro,PRP,65456,Camara dos Deputados 2002,2002
São Paulo,PRP,53488,Camara dos Deputados 2002,2002
Paraná,PRP,19223,Camara dos Deputados 2002,2002
Santa Catarina,PRP,NA,Camara dos Deputados 2002,2002
R. G. do Sul,PRP,NA,Camara dos Deputados 2002,2002
M. G. do Sul,PRP,3160,Camara dos Deputados 2002,2002
Mato Grosso,PRP,2784,Camara dos Deputados 2002,2002
Goiás,PRP,20378,Camara dos Deputados 2002,2002
Distrito Federal,PRP,499,Camara dos Deputados 2002,2002
Rondônia,PGT,1010,Camara dos Deputados 2002,2002
Acre,PGT,NA,Camara dos Deputados 2002,2002
Amazonas,PGT,796,Camara dos Deputados 2002,2002
Roraima,PGT,1227,Camara dos Deputados 2002,2002
Pará,PGT,1460,Camara dos Deputados 2002,2002
Amapá,PGT,NA,Camara dos Deputados 2002,2002
Tocantins,PGT,73,Camara dos Deputados 2002,2002
Maranhão,PGT,8266,Camara dos Deputados 2002,2002
Piauí,PGT,120,Camara dos Deputados 2002,2002
Ceará,PGT,1636,Camara dos Deputados 2002,2002
R. G. do Norte,PGT,852,Camara dos Deputados 2002,2002
Paraíba,PGT,1408,Camara dos Deputados 2002,2002
Pernambuco,PGT,1533,Camara dos Deputados 2002,2002
Alagoas,PGT,519,Camara dos Deputados 2002,2002
Sergipe,PGT,25847,Camara dos Deputados 2002,2002
Bahia,PGT,2161,Camara dos Deputados 2002,2002
Minas Gerais,PGT,13483,Camara dos Deputados 2002,2002
Espírito Santo,PGT,4679,Camara dos Deputados 2002,2002
Rio de Janeiro,PGT,22676,Camara dos Deputados 2002,2002
São Paulo,PGT,94195,Camara dos Deputados 2002,2002
Paraná,PGT,2375,Camara dos Deputados 2002,2002
Santa Catarina,PGT,665,Camara dos Deputados 2002,2002
R. G. do Sul,PGT,1693,Camara dos Deputados 2002,2002
M. G. do Sul,PGT,295,Camara dos Deputados 2002,2002
Mato Grosso,PGT,1249,Camara dos Deputados 2002,2002
Goiás,PGT,2364,Camara dos Deputados 2002,2002
Distrito Federal,PGT,4104,Camara dos Deputados 2002,2002
Rondônia,PSDC,151,Camara dos Deputados 2002,2002
Acre,PSDC,767,Camara dos Deputados 2002,2002
Amazonas,PSDC,2420,Camara dos Deputados 2002,2002
Roraima,PSDC,8357,Camara dos Deputados 2002,2002
Pará,PSDC,94,Camara dos Deputados 2002,2002
Amapá,PSDC,NA,Camara dos Deputados 2002,2002
Tocantins,PSDC,2162,Camara dos Deputados 2002,2002
Maranhão,PSDC,3071,Camara dos Deputados 2002,2002
Piauí,PSDC,1043,Camara dos Deputados 2002,2002
Ceará,PSDC,5139,Camara dos Deputados 2002,2002
R. G. do Norte,PSDC,NA,Camara dos Deputados 2002,2002
Paraíba,PSDC,1526,Camara dos Deputados 2002,2002
Pernambuco,PSDC,17750,Camara dos Deputados 2002,2002
Alagoas,PSDC,216,Camara dos Deputados 2002,2002
Sergipe,PSDC,NA,Camara dos Deputados 2002,2002
Bahia,PSDC,32406,Camara dos Deputados 2002,2002
Minas Gerais,PSDC,10393,Camara dos Deputados 2002,2002
Espírito Santo,PSDC,156,Camara dos Deputados 2002,2002
Rio de Janeiro,PSDC,90190,Camara dos Deputados 2002,2002
São Paulo,PSDC,13287,Camara dos Deputados 2002,2002
Paraná,PSDC,NA,Camara dos Deputados 2002,2002
Santa Catarina,PSDC,132,Camara dos Deputados 2002,2002
R. G. do Sul,PSDC,NA,Camara dos Deputados 2002,2002
M. G. do Sul,PSDC,59,Camara dos Deputados 2002,2002
Mato Grosso,PSDC,775,Camara dos Deputados 2002,2002
Goiás,PSDC,1457,Camara dos Deputados 2002,2002
Distrito Federal,PSDC,994,Camara dos Deputados 2002,2002
Rondônia,PT do B,NA,Camara dos Deputados 2002,2002
Acre,PT do B,106,Camara dos Deputados 2002,2002
Amazonas,PT do B,10741,Camara dos Deputados 2002,2002
Roraima,PT do B,NA,Camara dos Deputados 2002,2002
Pará,PT do B,437,Camara dos Deputados 2002,2002
Amapá,PT do B,235,Camara dos Deputados 2002,2002
Tocantins,PT do B,76,Camara dos Deputados 2002,2002
Maranhão,PT do B,6776,Camara dos Deputados 2002,2002
Piauí,PT do B,131,Camara dos Deputados 2002,2002
Ceará,PT do B,1800,Camara dos Deputados 2002,2002
R. G. do Norte,PT do B,1597,Camara dos Deputados 2002,2002
Paraíba,PT do B,2083,Camara dos Deputados 2002,2002
Pernambuco,PT do B,694,Camara dos Deputados 2002,2002
Alagoas,PT do B,4003,Camara dos Deputados 2002,2002
Sergipe,PT do B,23415,Camara dos Deputados 2002,2002
Bahia,PT do B,5922,Camara dos Deputados 2002,2002
Minas Gerais,PT do B,2108,Camara dos Deputados 2002,2002
Espírito Santo,PT do B,210,Camara dos Deputados 2002,2002
Rio de Janeiro,PT do B,72716,Camara dos Deputados 2002,2002
São Paulo,PT do B,20647,Camara dos Deputados 2002,2002
Paraná,PT do B,794,Camara dos Deputados 2002,2002
Santa Catarina,PT do B,151,Camara dos Deputados 2002,2002
R. G. do Sul,PT do B,775,Camara dos Deputados 2002,2002
M. G. do Sul,PT do B,399,Camara dos Deputados 2002,2002
Mato Grosso,PT do B,91,Camara dos Deputados 2002,2002
Goiás,PT do B,12537,Camara dos Deputados 2002,2002
Distrito Federal,PT do B,195,Camara dos Deputados 2002,2002
Rondônia,PSTU,NA,Camara dos Deputados 2002,2002
Acre,PSTU,NA,Camara dos Deputados 2002,2002
Amazonas,PSTU,1609,Camara dos Deputados 2002,2002
Roraima,PSTU,NA,Camara dos Deputados 2002,2002
Pará,PSTU,3787,Camara dos Deputados 2002,2002
Amapá,PSTU,787,Camara dos Deputados 2002,2002
Tocantins,PSTU,NA,Camara dos Deputados 2002,2002
Maranhão,PSTU,4142,Camara dos Deputados 2002,2002
Piauí,PSTU,797,Camara dos Deputados 2002,2002
Ceará,PSTU,2849,Camara dos Deputados 2002,2002
R. G. do Norte,PSTU,2405,Camara dos Deputados 2002,2002
Paraíba,PSTU,NA,Camara dos Deputados 2002,2002
Pernambuco,PSTU,4058,Camara dos Deputados 2002,2002
Alagoas,PSTU,1699,Camara dos Deputados 2002,2002
Sergipe,PSTU,1704,Camara dos Deputados 2002,2002
Bahia,PSTU,6004,Camara dos Deputados 2002,2002
Minas Gerais,PSTU,17575,Camara dos Deputados 2002,2002
Espírito Santo,PSTU,NA,Camara dos Deputados 2002,2002
Rio de Janeiro,PSTU,18757,Camara dos Deputados 2002,2002
São Paulo,PSTU,59422,Camara dos Deputados 2002,2002
Paraná,PSTU,10514,Camara dos Deputados 2002,2002
Santa Catarina,PSTU,8731,Camara dos Deputados 2002,2002
R. G. do Sul,PSTU,8829,Camara dos Deputados 2002,2002
M. G. do Sul,PSTU,NA,Camara dos Deputados 2002,2002
Mato Grosso,PSTU,NA,Camara dos Deputados 2002,2002
Goiás,PSTU,3045,Camara dos Deputados 2002,2002
Distrito Federal,PSTU,2537,Camara dos Deputados 2002,2002
Rondônia,PAN,726,Camara dos Deputados 2002,2002
Acre,PAN,NA,Camara dos Deputados 2002,2002
Amazonas,PAN,1755,Camara dos Deputados 2002,2002
Roraima,PAN,181,Camara dos Deputados 2002,2002
Pará,PAN,NA,Camara dos Deputados 2002,2002
Amapá,PAN,377,Camara dos Deputados 2002,2002
Tocantins,PAN,740,Camara dos Deputados 2002,2002
Maranhão,PAN,43093,Camara dos Deputados 2002,2002
Piauí,PAN,505,Camara dos Deputados 2002,2002
Ceará,PAN,4310,Camara dos Deputados 2002,2002
R. G. do Norte,PAN,NA,Camara dos Deputados 2002,2002
Paraíba,PAN,1089,Camara dos Deputados 2002,2002
Pernambuco,PAN,5812,Camara dos Deputados 2002,2002
Alagoas,PAN,767,Camara dos Deputados 2002,2002
Sergipe,PAN,2478,Camara dos Deputados 2002,2002
Bahia,PAN,26058,Camara dos Deputados 2002,2002
Minas Gerais,PAN,7746,Camara dos Deputados 2002,2002
