estado,ano,turno,situacao,quantidade,proporcao
Espirito Santo,2010,2,DEMAIS,1994327,0.7907494314198802
Espirito Santo,2014,1,ABSTENÇÃO,501374,0.1890820747007208
Espirito Santo,2014,1,DEMAIS,2150247,0.8109179252992792
Espirito Santo,2014,2,ABSTENÇÃO,575959,0.21720171480893186
Espirito Santo,2014,2,DEMAIS,2075765,0.7827982851910682
Espírito Santo,1989,1,ABSTENÇÃO,136287,0.09681131500491207
Espírito Santo,1989,1,DEMAIS,1271472,0.903188684995088
Espírito Santo,1989,2,ABSTENÇÃO,136287,0.09681131500491207
Espírito Santo,1989,2,DEMAIS,1271472,0.903188684995088
Espírito Santo,1994,1,ABSTENÇÃO,294919,0.1723937572812526
Espírito Santo,1994,1,DEMAIS,1415810,0.8276062427187474
Espírito Santo,1998,1,ABSTENÇÃO,418119,0.21812431007823113
Espírito Santo,1998,1,DEMAIS,1498765,0.7818756899217689
Espírito Santo,2002,2,ABSTENÇÃO,475336,0.22145474451704578
Espírito Santo,2002,2,DEMAIS,1671089,0.7785452554829542
Espírito Santo,2002,1,ABSTENÇÃO,378376,0.17628195720791548
Espírito Santo,2002,1,DEMAIS,1768049,0.8237180427920845
Goiás,1989,1,ABSTENÇÃO,304086,0.13822310809490151
Goiás,1989,1,DEMAIS,1895879,0.8617768919050985
Goiás,1989,2,ABSTENÇÃO,304086,0.13822310809490151
Goiás,1989,2,DEMAIS,1895879,0.8617768919050985
Goiás,1994,1,ABSTENÇÃO,500218,0.19077021178087614
Goiás,1994,1,DEMAIS,2121879,0.8092297882191238
Goiás,1998,1,ABSTENÇÃO,607401,0.20597321335317328
Goiás,1998,1,DEMAIS,2341531,0.7940267866468267
Goiás,2002,1,ABSTENÇÃO,573047,0.17025338042597288
Goiás,2002,1,DEMAIS,2792801,0.8297466195740271
Goiás,2002,2,ABSTENÇÃO,746746,0.2218596918220906
Goiás,2002,2,DEMAIS,2619102,0.7781403081779094
Goiás,2006,1,ABSTENÇÃO,640034,0.08569928913538027
Goiás,2006,1,DEMAIS,6828336,0.9143007108646197
Goiás,2006,2,ABSTENÇÃO,762775,0.1021340667374541
Goiás,2006,2,DEMAIS,6705595,0.8978659332625459
Goiás,2010,1,ABSTENÇÃO,729276,0.1796727793063757
Goiás,2010,1,DEMAIS,3329636,0.8203272206936243
Goiás,2010,2,ABSTENÇÃO,900924,0.22195560119319208
Goiás,2010,2,DEMAIS,3158104,0.778044398806808
Goiás,2014,1,ABSTENÇÃO,815396,0.18832038364519285
Goiás,2014,1,DEMAIS,3514438,0.8116796163548071
Goiás,2014,2,ABSTENÇÃO,932427,0.21534449039846354
Goiás,2014,2,DEMAIS,3397505,0.7846555096015365
M. G. do Sul,1989,1,ABSTENÇÃO,138741,0.13843201973195826
M. G. do Sul,1989,1,DEMAIS,863491,0.8615679802680417
M. G. do Sul,1989,2,ABSTENÇÃO,138741,0.13843201973195826
M. G. do Sul,1989,2,DEMAIS,863491,0.8615679802680417
M. G. do Sul,1994,1,ABSTENÇÃO,213895,0.1842248508682628
M. G. do Sul,1994,1,DEMAIS,947159,0.8157751491317372
M. G. do Sul,2002,1,ABSTENÇÃO,254257,0.18009765025963806
M. G. do Sul,2002,1,DEMAIS,1157516,0.8199023497403619
M. G. do Sul,2002,2,ABSTENÇÃO,292628,0.20727694891459178
M. G. do Sul,2002,2,DEMAIS,1119145,0.7927230510854082
M. G. do Sul,2006,1,ABSTENÇÃO,272233,0.0871881607577853
M. G. do Sul,2006,1,DEMAIS,2850129,0.9128118392422148
M. G. do Sul,2006,2,ABSTENÇÃO,335791,0.107543904262222
M. G. do Sul,2006,2,DEMAIS,2786571,0.892456095737778
M. G. do Sul,2010,1,ABSTENÇÃO,308448,0.18134271496702944
M. G. do Sul,2010,1,DEMAIS,1392464,0.8186572850329705
M. G. do Sul,2010,2,ABSTENÇÃO,410546,0.2413586528699061
M. G. do Sul,2010,2,DEMAIS,1290433,0.7586413471300939
M. G. do Sul,2014,1,ABSTENÇÃO,373191,0.2053308068011693
M. G. do Sul,2014,1,DEMAIS,1444320,0.7946691931988307
M. G. do Sul,2014,2,ABSTENÇÃO,420367,0.23128260232060024
M. G. do Sul,2014,2,DEMAIS,1397180,0.7687173976793997
M. G. do Sul,1998,1,ABSTENÇÃO,259790,0.206689914210041
M. G. do Sul,1998,1,DEMAIS,997117,0.793310085789959
Maranhão,1989,1,ABSTENÇÃO,678071,0.31621254346301353
Maranhão,1989,1,DEMAIS,1466281,0.6837874565369865
Maranhão,1989,2,ABSTENÇÃO,678071,0.31621254346301353
Maranhão,1989,2,DEMAIS,1466281,0.6837874565369865
Maranhão,1994,1,ABSTENÇÃO,798266,0.30521230612763794
Maranhão,1994,1,DEMAIS,1817179,0.69478769387236206
Maranhão,1998,1,ABSTENÇÃO,927689,0.3105512693519387
Maranhão,1998,1,DEMAIS,2059544,0.6894487306480612
Maranhão,2002,1,ABSTENÇÃO,812664,0.23965906567456532
Maranhão,2002,1,DEMAIS,2578253,0.7603409343254347
Maranhão,2002,2,ABSTENÇÃO,1162707,0.3428240606966242
Maranhão,2002,2,DEMAIS,2228849,0.6571759393033758
Maranhão,2006,1,ABSTENÇÃO,817081,0.10420335315338845
Maranhão,2006,1,DEMAIS,7024135,0.8957966468466115
Maranhão,2006,2,ABSTENÇÃO,947517,0.1208380179808846
Maranhão,2006,2,DEMAIS,6893699,0.8791619820191154
Maranhão,2010,1,ABSTENÇÃO,1035648,0.23969183113664577
Maranhão,2010,1,DEMAIS,3285100,0.7603081688633542
Maranhão,2010,2,ABSTENÇÃO,1275532,0.29522069247246624
Maranhão,2010,2,DEMAIS,3045073,0.7047793075275337
Maranhão,2014,1,ABSTENÇÃO,1062192,0.23625981568837492
Maranhão,2014,1,DEMAIS,3433672,0.763740184311625
Maranhão,2014,2,ABSTENÇÃO,1230596,0.2737149800607353
Maranhão,2014,2,DEMAIS,3265307,0.7262850199392648
Mato Grosso,1989,1,ABSTENÇÃO,233848,0.22748479530570873
Mato Grosso,1989,1,DEMAIS,794124,0.7725152046942912
Mato Grosso,1989,2,ABSTENÇÃO,233848,0.22748479530570873
Mato Grosso,1989,2,DEMAIS,794124,0.7725152046942912
Mato Grosso,1994,1,ABSTENÇÃO,342260,0.26759090006426683
Mato Grosso,1994,1,DEMAIS,936782,0.7324090999357331
Mato Grosso,2002,1,ABSTENÇÃO,384833,0.2224439920417197
Mato Grosso,2002,1,DEMAIS,1345189,0.7775560079582803
Mato Grosso,2002,2,ABSTENÇÃO,492985,0.28495880399208795
Mato Grosso,2002,2,DEMAIS,1237037,0.715041196007912
Mato Grosso,2006,1,ABSTENÇÃO,390654,0.10067000984399078
Mato Grosso,2006,1,DEMAIS,3489886,0.8993299901560092
Mato Grosso,2006,2,ABSTENÇÃO,468306,0.1206806269230571
Mato Grosso,2006,2,DEMAIS,3412234,0.8793193730769429
Mato Grosso,2010,1,ABSTENÇÃO,438820,0.20955744706862167
Mato Grosso,2010,1,DEMAIS,1655212,0.7904425529313783
Mato Grosso,2010,2,ABSTENÇÃO,545646,0.26056286575888027
Mato Grosso,2010,2,DEMAIS,1548459,0.7394371342411197
Mato Grosso,2014,1,ABSTENÇÃO,501407,0.22913261218955683
Mato Grosso,2014,1,DEMAIS,1686876,0.7708673878104432
Mato Grosso,2014,2,ABSTENÇÃO,556522,0.25431170390788294
Mato Grosso,2014,2,DEMAIS,1631824,0.7456882960921171
Mato Grosso,1998,1,ABSTENÇÃO,439757,0.28999090639921765
Mato Grosso,1998,1,DEMAIS,1076694,0.7100090936007823
Minas Gerais,1989,1,ABSTENÇÃO,1033718,0.10958408913800687
Minas Gerais,1989,1,DEMAIS,8399385,0.8904159108619931
Minas Gerais,1989,2,ABSTENÇÃO,1033718,0.10958408913800687
Minas Gerais,1989,2,DEMAIS,8399385,0.8904159108619931
Minas Gerais,1994,1,ABSTENÇÃO,1722478,0.16311747856646835
Minas Gerais,1994,1,DEMAIS,8837261,0.8368825214335316
Minas Gerais,1998,1,ABSTENÇÃO,2349275,0.19883526137513063
Minas Gerais,1998,1,DEMAIS,9465908,0.8011647386248694
Minas Gerais,2002,1,ABSTENÇÃO,2166502,0.17085191029056707
Minas Gerais,2002,1,DEMAIS,10514082,0.829148089709433
Minas Gerais,2002,2,ABSTENÇÃO,2474895,0.19517200469631368
Minas Gerais,2002,2,DEMAIS,10205689,0.8048279953036863
Minas Gerais,2006,1,ABSTENÇÃO,2447141,0.08944400104738848
Minas Gerais,2006,1,DEMAIS,24912335,0.9105559989526115
Minas Gerais,2006,2,ABSTENÇÃO,2683640,0.09808813589850916
Minas Gerais,2006,2,DEMAIS,24675836,0.9019118641014908
Minas Gerais,2010,1,ABSTENÇÃO,2675492,0.18433954570828281
Minas Gerais,2010,1,DEMAIS,11838442,0.8156604542917172
Minas Gerais,2010,2,ABSTENÇÃO,3045244,0.20981261479774893
Minas Gerais,2010,2,DEMAIS,11468869,0.7901873852022511
Minas Gerais,2014,1,ABSTENÇÃO,3050396,0.20020217137995158
Minas Gerais,2014,1,DEMAIS,12186182,0.7997978286200484
Minas Gerais,2014,2,ABSTENÇÃO,3225049,0.2116576784071561
Minas Gerais,2014,2,DEMAIS,12012050,0.7883423215928439
Pará,1989,1,ABSTENÇÃO,559053,0.2556428144199973
Pará,1989,1,DEMAIS,1627799,0.7443571855800026
Pará,1989,2,ABSTENÇÃO,559053,0.2556428144199973
Pará,1989,2,DEMAIS,1627799,0.7443571855800026
Pará,1994,1,ABSTENÇÃO,914818,0.3287010205412537
Pará,1994,1,DEMAIS,1868313,0.6712989794587463
Pará,1998,1,ABSTENÇÃO,1073095,0.33317881580164793
Pará,1998,1,DEMAIS,2147683,0.6668211841983521
Pará,2002,1,ABSTENÇÃO,792338,0.22199838839645447
Pará,2002,1,DEMAIS,2776778,0.7780016116035455
Pará,2002,2,ABSTENÇÃO,980481,0.2746958605431323
Pará,2002,2,DEMAIS,2588852,0.7253041394568677
Pará,2006,1,ABSTENÇÃO,824058,0.09909938945122765
Pará,2006,1,DEMAIS,7491412,0.9009006105487724
Pará,2006,2,ABSTENÇÃO,1003679,0.1207002129765365
Pará,2006,2,DEMAIS,7311791,0.8792997870234635
Pará,2010,1,ABSTENÇÃO,1008763,0.21177217701091755
Pará,2010,1,DEMAIS,3754672,0.7882278229890824
Pará,2010,2,ABSTENÇÃO,1275991,0.26786438157424336
Pará,2010,2,DEMAIS,3487580,0.7321356184257567
Pará,2014,1,ABSTENÇÃO,1094107,0.21097523115340489
Pará,2014,1,DEMAIS,4091843,0.7890247688465951
Pará,2014,2,ABSTENÇÃO,1308042,0.25222409970167936
Pará,2014,2,DEMAIS,3877989,0.7477759002983206
Paraíba,1989,1,ABSTENÇÃO,289537,0.16484525030217767
Paraíba,1989,1,DEMAIS,1466880,0.8351547496978223
Paraíba,1989,2,ABSTENÇÃO,289537,0.16484525030217767
Paraíba,1989,2,DEMAIS,1466880,0.8351547496978223
Paraíba,1994,1,ABSTENÇÃO,471857,0.22560633342672695
Paraíba,1994,1,DEMAIS,1619649,0.774393666573273
Paraíba,1998,1,ABSTENÇÃO,547654,0.2463293750300797
Paraíba,1998,1,DEMAIS,1675605,0.7536706249699203
Paraíba,2002,1,ABSTENÇÃO,416560,0.1793918179829359
Paraíba,2002,1,DEMAIS,1905508,0.8206081820170641
Paraíba,2002,2,ABSTENÇÃO,427754,0.1842125209080871
Paraíba,2002,2,DEMAIS,1894314,0.8157874790919128
Paraíba,2006,1,ABSTENÇÃO,419613,0.08151731742512723
Paraíba,2006,1,DEMAIS,4727919,0.9184826825748728
Paraíba,2006,2,ABSTENÇÃO,441170,0.08570514957459226
Paraíba,2006,2,DEMAIS,4706362,0.9142948504254077
Paraíba,2010,1,ABSTENÇÃO,506052,0.18480429373851712
Paraíba,2010,1,DEMAIS,2232261,0.8151957062614829
Paraíba,2010,2,ABSTENÇÃO,521249,0.19034877805892442
Paraíba,2010,2,DEMAIS,2217140,0.8096512219410755
Paraíba,2014,1,ABSTENÇÃO,500260,0.17647212378235785
Paraíba,2014,1,DEMAIS,2334522,0.8235278762176421
Paraíba,2014,2,ABSTENÇÃO,510208,0.17997516649734732
Paraíba,2014,2,DEMAIS,2324672,0.8200248335026527
Paraná,1989,1,ABSTENÇÃO,526531,0.10435394934146923
